"Date","Rate"
"10/06/2025","10.5"
"08/04/2025","10.75"
"05/02/2025","13.75"
"05/12/2024","14.25"
"08/10/2024","15"
"06/08/2024","15.75"
"05/06/2024","16"
"03/04/2024","17"
"06/02/2024","17"
"05/12/2023","16.5"
"03/10/2023","14.5"
"10/08/2023","14.5"
"26/06/2023","16.5"
"29/05/2023","15.5"
"29/03/2023","15.5"
"30/01/2023","14.75"
"23/11/2022","14.75"
"29/09/2022","14.25"
"27/07/2022","13.5"
"30/05/2022","13.5"
"29/03/2022","13"
"26/01/2022","13"
"29/11/2021","13"
"28/09/2021","13"
"28/07/2021","13"
"26/05/2021","13"
"29/03/2021","13"
"27/01/2021","13"
"26/11/2020","13"
"29/09/2020","13"
"29/07/2020","13"
"25/06/2020","13"
"27/05/2020","13"
"29/04/2020","13"
"23/03/2020","13.25"
"27/01/2020","14.25"
"25/11/2019","14.5"
"23/09/2019","15"
"23/09/2019","15"
"24/07/2019","15"
"27/05/2019","15"
"27/03/2019","15"
"28/01/2019","15"
"27/11/2018","15"
"25/09/2018","15"
"30/07/2018","15"
"19/03/2018","15.5"
"22/01/2018","16"
"23/11/2017","16"
"18/09/2017","16"
"29/05/2017","16"
"27/03/2017","16"
"30/01/2017","16"
"28/11/2016","16"
"20/09/2016","16"
"23/05/2016","16.5"
"25/01/2016","17.5"
"09/07/2015","17.5"
"12/06/2015","16"
"26/05/2015","14.5"
"22/01/2015","14.5"
"07/05/2013","14.5"
"07/11/2012","17"
"10/09/2012","19"
"20/05/2012","22.5"
"02/12/2011","24"
"02/11/2011","22.5"
"31/10/2011","22"
"28/10/2011","20.98"
"27/10/2011","20.49"
"21/10/2011","18"
"17/10/2011","14"
"14/10/2011","15.56"
"13/10/2011","15.08"
"12/10/2011","14.66"
"11/10/2011","14.3"
"10/10/2011","14.36"
"05/10/2011","14"
"15/09/2011","10"
"14/09/2011","9.25"
"13/09/2011","9.25"
"12/09/2011","9.34"
"09/09/2011","10.13"
"07/09/2011","11.76"
"02/09/2011","15"
"01/09/2011","17.87"
"30/08/2011","20.17"
"26/08/2011","29.37"
"25/08/2011","27.25"
"24/08/2011","25.29"
"18/08/2011","17.89"
"17/08/2011","15.68"
"16/08/2011","13.87"
"15/08/2011","11.34"
"12/07/2011","6.25"
"29/06/2011","8"
"02/06/2011","6.25"
"28/03/2011","6"
"07/02/2011","5.75"
"03/01/2011","6"