"Value Date","On Offer","Maturing"
"02/06/2025","2632/091","2619/091"
"02/06/2025","2606/182","2579/182"
"02/06/2025","2560/364","2507/364"
"09/06/2025","2633/091","2620/091"
"09/06/2025","2607/182","2580/182"
"09/06/2025","2561/364","2508/364"
"16/06/2025","2634/091","2621/091"
"16/06/2025","2608/182","2581/182"
"16/06/2025","2562/364","2509/364"
"23/06/2025","2635/091","2622/091"
"23/06/2025","2609/182","2582/182"
"23/06/2025","2563/091","2510/364"
"30/06/2025","2610/182","2585/182"
"30/06/2025","2564/364","2511/264"
"30/06/2025","2636/091","2623/091"
"07/07/2025","2637/091","2624/091"
"07/07/2025","2611/182","2584/182"
"07/07/2025","2565/364","2512/364"
"14/07/2025","2638/091","2625/091"
"14/07/2025","2612/182","2586/182"
"14/07/2025","2566/364","2513/364"
"21/07/2025","2639/091","2626/091"
"21/07/2025","2613/182","2587/182"
"21/07/2025","2567/364","2514/364"
"28/07/2025","2640/091","2627/091"
"28/07/2025","2614/182","2588/182"
"28/07/2025","2568/364","2515/364"
"04/08/2025","2641/091","2628/091"
"04/08/2025","2615/182","2589/182"
"04/08/2025","2569/364","2516/364"
"11/08/2025","2642/091","2629/091"
"11/08/2025","2616/182","2590/182"
"11/08/2025","2570/364","2517/364"
"18/08/2025","2643/091","2630/091"
"18/08/2025","2617/182","2591/182"
"18/08/2025","2571/364","2518/364"
"18/08/2025","--","FXD1/2023/002"
"25/08/2025","2644/091","2631/091"
"25/08/2025","2618/182","2592/182"
"25/08/2025","2572/364","2519/364"