"Date","Amount","Tenure","Rate"
"02/09/2014","240","7","11.5"
"02/09/2014","100","7","11.5"
"28/08/2014","100","11","12"
"22/08/2014","100","10","13.4"
"21/08/2014","100","7","13.2"
"16/07/2014","270","33","10"
"16/07/2014","360","33","10"
"16/07/2014","450","33","10"
"09/07/2014","200","14","9.8"
"08/07/2014","360","7","10.5"
"08/07/2014","270","7","10.5"
"13/06/2014","140","14","6.2"
"11/06/2014","150","7","7"
"05/06/2014","360","14","10"
"05/06/2014","360","14","10"
"05/06/2014","360","14","10"
"22/05/2014","368","14","9"
"14/05/2014","368","7","8.5"
"13/05/2014","248","30","9"
"12/05/2014","200","7","8.4"
"07/05/2014","368","7","9"
"02/05/2014","200","10","8.6"
"30/04/2014","360","7","9.5"
"25/04/2014","200","32","9.5"
"22/04/2014","450","7","8.5"
"22/04/2014","248","21","9"
"17/04/2014","150","14","8.6"
"11/04/2014","300","11","8.5"
"02/04/2014","750","33","10"
"02/04/2014","250","33","10"
"26/03/2014","600","7","8.75"
"26/03/2014","200","7","8.75"
"26/03/2014","200","7","8.75"
"25/03/2014","100","7","9.5"
"25/03/2014","100","7","9"
"25/03/2014","200","14","9.5"
"24/03/2014","160","14","9"
"19/03/2014","480","7","7.5"
"17/03/2014","150","5","5.3"
"26/02/2014","288","14","10.25"
"26/02/2014","360","14","10.25"
"21/02/2014","85","14","9.25"
"20/02/2014","240","14","8.75"
"14/02/2014","100","3","7"
"13/02/2014","100","1","7.8"
"13/02/2014","200","30","9.5"
"13/02/2014","600","30","11"
"10/02/2014","150","8","11"
"05/02/2014","240","30","12.5"
"05/02/2014","360","30","12.5"
"05/02/2014","100","30","12.5"
"04/02/2014","200","14","12.5"
"29/01/2014","200","14","12.15"
"29/01/2014","100","30","12.4"
"27/01/2014","100","14","10.25"
"16/01/2014","160","14","11.5"
"15/01/2014","500","33","11"
"13/01/2014","240","14","12.25"
"09/01/2014","500","29","12.2"
"08/01/2014","150","14","12.4"
"06/01/2014","200","14","12.25"
"02/01/2014","150","14","13"
"11/12/2013","160","19","8.5"
"09/12/2013","500","31","12.2"
"03/12/2013","150","14","9.8"
"29/11/2013","200","31","11"
"28/11/2013","240","15","11"
"28/11/2013","160","15","11"
"25/11/2013","500","14","12.8"
"22/11/2013","200","14","11.25"
"21/11/2013","160","7","11.5"
"19/11/2013","150","14","10.5"
"15/11/2013","50","14","11"
"14/11/2013","200","14","11"
"07/11/2013","464","8","13"
"05/11/2013","150","14","12.25"
"01/11/2013","200","7","13"
"01/11/2013","160","7","13"
"31/10/2013","100","14","13"
"24/10/2013","80","32","13.75"
"24/10/2013","400","32","13.75"
"23/10/2013","260","32","13"
"23/10/2013","240","32","13"
"11/10/2013","160","7","10.5"
"11/10/2013","120","7","11"
"11/10/2013","80","7","11"
"08/10/2013","500","15","10.8"
"03/10/2013","208","26","10.75"
"03/10/2013","464","27","10.75"
"03/10/2013","380","25","10.75"
"01/10/2013","288","31","11"
"01/10/2013","212","31","11"
"27/09/2013","160","11.25","32"
"27/09/2013","200","32","11.25"
"20/09/2013","498.75","14","8.6"
"20/09/2013","240","31","9.5"
"20/09/2013","260","31","9.5"
"18/09/2013","60","14","7.9"
"12/09/2013","230","14","8.5"
"12/09/2013","270","14","8.5"
"16/08/2013","200","7","9"
"30/07/2013","150","13","9.5"
"23/07/2013","240","14","7.8"
"23/07/2013","160","15","7.85"
"12/07/2013","103.5","7","8.05"
"08/07/2013","1045","7","8.8"
"08/07/2013","200","14","10"
"05/07/2013","1000","14","9.65"
"03/07/2013","427.5","7","9"
"19/06/2013","200","14","8.5"
"19/06/2013","360","16","8.75"
"19/06/2013","360","13","8.75"
"17/06/2013","240","15","8.75"
"14/06/2013","300","14","8.2"
"13/06/2013","464","14","8.75"
"11/06/2013","270","14","8.75"
"03/06/2013","360","15","8.7"
"31/05/2013","160","15","8.5"
"31/05/2013","464","14","8.5"
"31/05/2013","300","15","8.2"
"30/05/2013","160","14","8.75"
"30/05/2013","160","14","8.75"
"30/05/2013","368","15","8.75"
"22/05/2013","80","14","8.4"
"16/05/2013","648","14","8"
"10/05/2013","560","14","8.5"
"08/05/2013","100","14","9.25"
"02/05/2013","360","18","9.75"
"30/04/2013","280","16","9.75"
"23/04/2013","736","24","10"
"18/04/2013","500","14","9.75"
"11/04/2013","332.5","9","9.5"
"10/04/2013","595","31","10.5"
"05/04/2013","300","21","10.5"
"02/04/2013","360","21","10.5"
"02/04/2013","160","23","10.5"
"02/04/2013","100","9","10"
"22/03/2013","300","14","10.5"
"20/03/2013","500","30","10.75"
"19/03/2013","412.5","23","10.7"
"15/03/2013","572.5","25","10.8"
"15/03/2013","300","8","9.5"
"07/03/2013","150","21","11"
"26/02/2013","435.2","22","11.9"
"26/02/2013","435.2","22","11.9"
"26/02/2013","435.2","22","11.9"
"26/02/2013","435.2","22","11.9"
"25/02/2013","399.9","21","11"
"22/02/2013","560","17","11"
"22/02/2013","180","21","11.95"
"22/02/2013","400","21","11.5"
"18/02/2013","280","17","12.5"
"18/02/2013","240","21","10.8"
"18/02/2013","200","31","12"
"18/02/2013","240","21","10.8"
"14/02/2013","210","21","12"
"14/02/2013","140","20","12"
"11/02/2013","399.9","14","10"
"11/02/2013","136","31","11.5"
"08/02/2013","400","14","10"
"08/02/2013","180","14","9.75"
"07/02/2013","480","7","9"
"06/02/2013","247.5","31","9.75"
"04/02/2013","300","7","9.5"
"04/02/2013","80","7","9.1"
"01/02/2013","400","7","9"
"01/02/2013","360","29","10"
"31/01/2013","50","7","8"
"31/01/2013","140","30","10"
"28/01/2013","360","21","8.5"
"28/01/2013","360","21","8.5"
"28/01/2013","360","21","8.5"
"25/01/2013","136","17","8"
"24/01/2013","500","14","6.95"
"24/01/2013","200","31","9"
"24/01/2013","180","14","8"
"24/01/2013","180","15","8"
"18/01/2013","200","31","8"
"16/01/2013","520","6","6.25"
"14/01/2013","480","4","6.25"
"11/01/2013","520","4","6.25"
"10/01/2013","1000","7","6.6"
"10/01/2013","170","20","7.5"
"10/01/2013","212.5","21","7.5"
"21/12/2012","200","31","8.15"
"11/12/2012","50","14","8.75"
"10/12/2012","360","24","9.25"
"06/12/2012","450","22","11"
"30/11/2012","75","60","10"
"26/11/2012","712","32","12"
"22/11/2012","360","31","9"
"21/11/2012","150","30","9.15"
"20/11/2012","500","30","9.25"
"16/11/2012","368","21","9"
"15/11/2012","320","14","8.7"
"06/11/2012","100","7","9.3"
"06/11/2012","450","30","13.5"
"31/10/2012","105","14","11"
"29/10/2012","100","7","10.2"
"25/10/2012","100","7","10.2"
"23/10/2012","240","30","13"
"22/10/2012","280","30","13"
"22/10/2012","100","7","10.25"
"19/10/2012","200","12","12"
"18/10/2012","500","30","13"
"18/10/2012","100","7","10.2"
"17/10/2012","240","28","13"
"17/10/2012","340","29","13"
"17/10/2012","500","29","13"
"16/10/2012","200","31","13"
"10/10/2012","100","7","9.4"
"10/10/2012","240","22","12.5"
"09/10/2012","235","21","12.5"
"09/10/2012","240","22","12.5"
"05/10/2012","200","14","11.75"
"28/09/2012","200","3","10.5"
"25/09/2012","240","7","9"
"25/09/2012","136","30","10.25"
"25/09/2012","712","62","11.65"
"20/09/2012","319","7","9.5"
"20/09/2012","255","14","11"
"18/09/2012","200","14","11"
"17/09/2012","240","14","10.8"
"14/09/2012","160","13","10.5"
"14/09/2012","200","15","10"
"13/09/2012","320","7","9.5"
"13/09/2012","80","25","10.4"
"13/09/2012","235.2","26","10.4"
"12/09/2012","150","14","8.8"
"12/09/2012","80","30","10.4"
"12/09/2012","360","33","10.4"
"10/09/2012","160","30","10"
"06/09/2012","255","14","11"
"05/09/2012","136","20","10.25"
"05/09/2012","360","21","10.25"
"04/09/2012","160","10","11"
"04/09/2012","240","13","11"
"04/09/2012","200","14","11.5"
"29/08/2012","160","13","11"
"29/08/2012","350","14","10.375"
"28/08/2012","240","7","11"
"28/08/2012","250","14","10.25"
"27/08/2012","376","10","10.8"
"28/05/2012","200","7","20"
"27/05/2012","84","14","23"
"25/05/2012","240","14","21"
"24/05/2012","100","30","20"
"20/05/2012","160","13","23"
"20/05/2012","160","13","23"
"18/05/2012","200","7","20"
"18/05/2012","160","13","23"
"17/05/2012","84","14","23"
"15/05/2012","240","14","21"
"14/05/2012","100","30","20"
"28/04/2012","200","7","20"
"27/04/2012","84","14","23"
"25/04/2012","240","14","21"
"24/04/2012","100","30","20"
"28/03/2012","200","7","20"
"27/03/2012","84","14","23"
"25/03/2012","240","14","21"
"24/03/2012","100","30","20"
"20/03/2012","160","13","23"
"28/05/2011","200","7","20"
"27/05/2011","84","14","23"
"25/05/2011","240","14","21"
"24/05/2011","100","30","20"
"20/05/2011","160","13","23"